Country,Year,Forest_area,Access_to_electricity,Coal_energy_share,Renewable_electricity_share,Renewable_energy_share,Fossil_fuel_energy_consumption,Energy_use_per_capita,Air_pollution_PM2.5,CO2_emissions,R&D_expenditure,Industrial_value_added,GDP_growth,Population_growth,Urban_population_growth
TSS,2004,30.8146703476643,29.3700290990251,61.2979087061949,0.54488672599771,70.8974447436885,39.9080724890116,666.442417565779,38.0142188816199,667.4407,,27.7368879268138,6.60172575987204,2.75451289035971,4.14798874283386
TSS,2005,30.6611734248676,29.3529629714108,61.0910225269685,0.530237778525198,70.6535409402518,39.6265179379189,663.633926997216,37.4319207469923,683.375,,28.4836573429249,6.01547096382369,2.76964106274104,4.19362927023236
TSS,2006,30.507752879415,31.2016431937493,60.4283203099143,0.69839570466612,70.7563243988536,38.9376916603647,657.319659815824,37.1974605731814,685.46,,27.9821432324632,6.05293033307528,2.77096597497753,4.16772458320349
TSS,2007,30.3542549230811,32.517987745478,60.7540365222216,0.538691437157798,70.2555440778684,39.6172247547103,666.677265591392,37.0436583439862,703.6784,0.44412568175914,28.1910099302718,6.16455483945808,2.78252431584281,4.03407648478304
TSS,2008,30.2008770643511,32.4033521062592,59.9183746303206,0.597561374512454,70.2138689450837,40.9664879515682,681.784237963622,36.9932846881098,743.5191,,29.3975551881849,5.18898342836611,2.80390646525417,4.30121670757524
TSS,2009,30.0473997526092,32.6264486462032,58.4736401272004,0.663298620124153,70.2822619239662,39.8567910404594,667.844958773996,37.0678971659721,709.4097,,25.7449360742574,3.17752863557637,2.79811347234893,4.28666299161733
TSS,2010,29.8930068151004,33.3352475874151,57.4024406499563,0.67859677500141,70.7878802226208,39.5975122628202,671.190532976146,37.2820969721145,743.0259,,27.4343639482331,5.99608964841852,2.79421389869734,4.28450700161918
TSS,2011,29.7178013036573,35.9008197096736,56.5299414706168,0.676357225805567,70.2635563331266,39.1740674976844,672.882053469416,39.5333407626624,747.9229,,29.3382107990152,4.41478463388239,2.77885274984601,4.26645130653583
TSS,2012,27.57710915546,36.7762778723704,55.7665158739717,0.736190135355466,69.319905333243,38.7021719610258,666.739629250306,41.4511720822304,770.5186,,28.9668085412749,3.27203267568194,2.76687393029238,4.21299283642786
TSS,2013,27.4132997633855,38.0320042025018,54.1241532374626,0.863265534678534,68.2009508212118,38.2741164182449,664.008951672486,36.364878194025,812.5546,,28.1774478515187,5.16702171649293,2.77919800464419,4.21948236951961
TSS,2014,27.2495001757993,38.3544769303453,52.0677880211661,1.71552790022271,67.9518597989748,39.7893658434855,666.92270057541,35.6730882097769,844.6076,,27.1826200429877,4.87598258450494,2.75197955453127,4.20516096716842
TSS,2015,27.0855859117164,39.1996500160838,51.063006736298,2.4086749766881,68.5052591892292,,,46.5544222062187,830.7577,,24.1509911975641,2.87323361203298,2.73458341440238,4.20543990796851
TSS,2016,26.91752301122,43.8301651403807,,,68.5321876239698,,,42.7530014483733,845.9795,,23.3785422558193,1.25481148858772,2.6893928349343,4.11011078624956
TSS,2017,26.7529231075334,43.7628194566177,,,68.2152028750416,,,40.7846217866119,856.1705,,25.4536886179452,2.5040987530099,2.67067422040428,4.07074642429548
TSS,2018,26.5884254981686,46.4166752425457,,,68.2460504941512,,,39.0944691727478,876.3268,,27.3503652752298,2.7478873102593,2.68796683712196,4.0831618423617
TSS,2019,26.41966461613,47.1974168154518,,,68.6684138065584,,,36.2221384584107,894.976,,26.9286873069012,2.66854097205145,2.64132407565066,3.99919094487962
TSS,2020,26.252615602291,48.5450389491045,,,70.5731786913503,,,38.1777310513302,813.9885,,26.2737118262624,-2.01020207044769,2.60681347036534,3.95288703228402
TTO,2000,46.130604288499,91.3,0.0,0.366367466568969,0.8,99.7815482349608,7455.24839858946,24.1096411373475,19.1333,0.108000002801418,47.5360468126773,6.90135959072803,0.384592207827917,0.624591608267927
TTO,2001,46.0479532163743,96.3,0.0,0.513819985825656,0.7,99.8193934240095,8289.26187812461,23.8343891071875,21.7306,0.104170002043247,45.2069910848034,4.16852398185424,0.437978261429968,0.102817743288185
TTO,2002,45.9653021442495,96.5,0.0,0.460666194188519,0.7,99.633495474291,8976.25394985477,23.2750590319697,23.4963,0.131779998540878,42.9095754130396,7.93670968715332,0.48495379094578,0.147066311189022
